CID,Category,Market,Year,Model,Transmission,Checksum,File
A2PG420A,engine,JDM,2007,Legacy,AT,,JDM/Legacy/A2PG420A-2007-JDM-Subaru-Legacy-GT-AT.hex
A2SB000A,engine,JDM,2008,Legacy,AT,,JDM/Legacy/A2SB000A-2008-JDM-Subaru-Legacy-GT-spec.B-AT.hex
A2SB000Y,engine,JDM,2008,Outback,AT,,JDM/Outback/A2SB000Y-2008-JDM-Subaru-Outback-XT-AT.hex
A2TB000N,engine,USDM,2008,Legacy,MT,,USDM/Legacy/A2TB000N-2008-USDM-Subaru-Legacy-GT-MT.hex
A2TB001C,engine,USDM,2008,Legacy(Outback),AT,,USDM/Legacy/A2TB001C-2008-USDM-Subaru-Legacy(Outback)-GT(XT)-AT.hex
A2TB001L,engine,USDM,2008,Legacy,MT,valid,USDM/Legacy/A2TB001L-2008-USDM-Subaru-Legacy-GT-MT.hex
A2TB001N,engine,USDM,2008,Outback,MT,valid,USDM/Outback/A2TB001N-2008-USDM-Subaru-Outback-GT-MT.hex
A2TB002C,engine,USDM,2009,Legacy,AT,,USDM/Legacy/A2TB002C-2009-USDM-Subaru-Legacy-GT-AT.hex
A2TB100A,engine,JDM,2008,,,,JDM/Legacy/A2TB100A-2008-JDM-Legacy-GT.hex
A2TB100B,engine,JDM,2007,Legacy,MT,,JDM/Legacy/A2TB100B-2007-JDM-Subaru-Legacy-GT-MT.hex
A2TB100K,engine,JDM,2007,Legacy,MT,,JDM/Legacy/A2TB100K-2007-JDM-Subaru-Legacy-GT-spec.B-MT.hex
A2TB100U,engine,JDM,2008,Impreza,MT,,JDM/Impreza/A2TB100U-2008-JDM-Subaru-Impreza-SGT-MT.hex
A2TB100V,engine,JDM,2008,Impreza,,,JDM/Impreza/A2TB100V-2008-JDM-Subaru-Impreza-SGT.hex
A2TB100Y,engine,JDM,2007,,,,JDM/Legacy/A2TB100Y-2007-JDM-Legacy-GT-TunedbySTI.hex
A2UG000B,engine,JDM,2006,,,,JDM/Legacy/A2UG000B-2006-JDM-Legacy-GT.hex
A2UG000C,engine,USDM,2007,Legacy,AT,,USDM/Legacy/A2UG000C-2007-USDM-Subaru-Legacy-GT-AT.hex
A2UG000J,engine,USDM,2007,STI,MT,,USDM/STI/A2UG000J-2007-USDM-Subaru-Impreza-STI-MT.hex
A2UG000L,engine,USDM,2007,Legacy,MT,,USDM/Legacy/A2UG000L-2007-USDM-Subaru-Legacy-GT-spec.B-MT.hex
A2UG000N,engine,USDM,2007,Legacy,MT,,USDM/Legacy/A2UG000N-2007-USDM-Subaru-Legacy-GT-MT.hex
A2UG000k,engine,JDM,2006,Legacy,MT,,JDM/Legacy/A2UG000k-2006-JDM-Subaru-Legacy-GT-spec.B-MT.hex
A2UG001G,engine,ADM,2008,Liberty,AT,,ADM/Legacy/A2UG001G-2008-ADM-Subaru-Liberty-GT-AT.hex
A2UG002T,engine,ADM,2007,Liberty,MT,,ADM/Legacy/A2UG002T-2007-ADM-Subaru-Liberty-GT-MT.hex
A2UH000A,engine,JDM,2006,Legacy,AT,,JDM/Legacy/A2UH000A-2006-JDM-Subaru-Legacy-GT-AT.hex
A2UI000K,engine,JDM,2007,Legacy,MT,,JDM/Legacy/A2UI000K-2007-JDM-Subaru-Legacy-GT-spec.B-MT.hex
A2UI000Y,engine,ADM,2008,Liberty,AT,,ADM/Legacy/A2UI000Y-2008-ADM-Subaru-Liberty-GT-AT.hex
A2UI000Z,engine,ADM,2008,,,,ADM/Legacy/A2UI000Z-2008-ADM-Liberty-GT.hex
A2UI001C,engine,USDM,2007,Legacy,AT,valid,USDM/Legacy/A2UI001C-2007-USDM-Subaru-Legacy-GT-AT.hex
A2UI001L,engine,USDM,2007,Legacy,MT,valid,USDM/Legacy/A2UI001L-2007-USDM-Subaru-Legacy-GT-MT.hex
A2UI001N,engine,USDM,2007,Outback,MT,valid,USDM/Outback/A2UI001N-2007-USDM-Subaru-Outback-GT-MT.hex
A2UJ000J,engine,USDM,2007,STI,MT,,USDM/STI/A2UJ000J-2007-USDM-Subaru-Impreza-STI-MT.hex
A2UJ000J,engine,USDM,2007,STI,,,USDM/STI/A2UJ000J-2007-USDM-Subaru-Impreza-STI.hex
A2UJ001J,engine,USDM,2007,STI,MT,valid,USDM/STI/A2UJ001J-2007-USDM-Subaru-Impreza-STI-MT.hex
A2WC000E,engine,JDM,2004,,,,JDM/Forester/A2WC000E-2004-JDM-Forester-STi.hex
A2WC011E,engine,JDM,2004,,,,JDM/Forester/A2WC011E-2004-07-JDM-Forester-STi.hex
A2WC012E,engine,JDM,2004,,,,JDM/Forester/A2WC012E-2004-07-JDM-Forester-STi.hex
A2WC013E,engine,JDM,2004,Forester,MT,,JDM/Forester/A2WC013E-2004-07-JDM-Subaru-Forester-STi-MT.hex
A2WC400D,engine,USDM,2005,,,,USDM/Forester/A2WC400D-2005-USDM-Forester-XT.hex
A2WC400H,engine,ADM,2005,Forester,AT,,ADM/Forester/A2WC400H-2005-ADM-Subaru-Forester-XT-AT.hex
A2WC400I,engine,USDM,2005,Forester,MT,,USDM/Forester/A2WC400I-2005-USDM-Subaru-Forester-XT-MT.hex
A2WC400L,engine,USDM,2005,Baja,MT,,USDM/Baja/A2WC400L-2005-USDM-Subaru-Baja-Turbo-MT.hex
A2WC400M,engine,ADM,2005,Forester,MT,,ADM/Forester/A2WC400M-2005-ADM-Subaru-Forester-XT-MT.hex
A2WC401F,engine,EDM,2004,,,,EDM/Forester/A2WC401F-2004-EDM-Forester-XT.hex
A2WC410D,engine,USDM,2005,Forester,AT,,USDM/Forester/A2WC410D-2005-USDM-Subaru-Forester-XT-AT.hex
A2WC410I,engine,USDM,2005,Forester,MT,,USDM/Forester/A2WC410I-2005-USDM-Subaru-Forester-XT-MT.hex
