cid,unit,ecumaker,model,grade,size,sha256,dbw_checksum
E6PF101A,ECM,J2534,N.AMERICA Legacy 04MY,2.5L NA SEDAN/WAGON CAL NORMAL HEIGHT AT,0x80000,d8ce06accd452fa31e0f74fa1def30c9bf2b5652908d7fe118b24b6fe12fb0d9,valid
E6PF102A,ECM,J2534,N.AMERICA Legacy 04MY,2.5L NA SEDAN/WAGON CAL OBK AT,0x80000,2d00f2a24a976731f30cefeff109f4825e6e18a2a2d5376bf70530cb44567353,valid
E2ZK003A,ECM,J2534,N.AMERICA LEGACY 05MY,2.5L NA SEDAN•WAGON CAL 5MT,0x100000,b8e8766812cb4099bcb7a498dbe31fca5cd5475edca6d1321077d9335dd9319b,valid
ED3A105A,ECM,J2534,N.AMERICA LEGACY 05MY,2.5L NA SEDAN•WAGON CAL 5MT,0x28000,6c22dbe58f22b9a8cc4cf1692dec6eb0b61407a16353665aca4e1d257f38655b,n/a(scheme)
E2ZK002A,ECM,J2534,N.AMERICA LEGACY 05MY,2.5L NA SEDAN•WAGON CAL 4AT OBK,0x100000,3e46ce43c6eed9df5d7c6c68ff2aab0a9200b44923d2a9ac7ae7148f92c5e520,valid
ED3A105A,ECM,J2534,N.AMERICA LEGACY 05MY,2.5L NA SEDAN•WAGON CAL 4AT OBK,0x28000,6c22dbe58f22b9a8cc4cf1692dec6eb0b61407a16353665aca4e1d257f38655b,n/a(scheme)
E6PF103A,ECM,J2534,N.AMERICA Legacy 04MY,2.5L NA SEDAN/WAGON CAL NORMAL HEIGHT/OBK MT,0x80000,61f791313e2fe920fcac901cf7ce77e72a38db62245eda64049494ba440923f7,valid
E2ZK001A,ECM,J2534,N.AMERICA LEGACY 05MY,2.5L NA SEDAN•WAGON CAL 4AT NORMAL-HEIGHT,0x100000,0f97aa1320b8514a57a90c5d23f48f42a7de5516c54e7660d708ea5bde7f0f79,valid
ED3A105A,ECM,J2534,N.AMERICA LEGACY 05MY,2.5L NA SEDAN•WAGON CAL 4AT NORMAL-HEIGHT,0x28000,6c22dbe58f22b9a8cc4cf1692dec6eb0b61407a16353665aca4e1d257f38655b,n/a(scheme)
D0XJ007B,ECM,J2534,N.AMERICA TRIBECA 06MY,3.0L DOHC NA FED&CAL 5AT,0x100000,827e2c031ce23dd0097ea55f2d1438bc26d887189b8d0d7ed78f6f87ef7fe1ec,valid
E2VL002B,ECM,J2534,N.AMERICA LEGACY 06MY,2.5L NA SEDAN &WAGON FED MT,0x100000,e90b1c2430b8c4bf3d2a7056866d1eeec7f220b57486f88d370b271ddd9e898e,valid
E2VL001B,ECM,J2534,N.AMERICA LEGACY 06MY,2.5L NA SEDAN &WAGON FED AT,0x100000,9b109d1ce6fc0494215b1fc25c81c1bf1343993bcf90f1cd39fa09bb61b84205,valid
E2VL002A,ECM,J2534,N.AMERICA LEGACY 06MY,2.5L NA SEDAN &WAGON CAL MT,0x100000,a1ed4bd6c92864adfe8762e45221636ac6a40933c8465875f096a83c8372db65,valid
E2VL001A,ECM,J2534,N.AMERICA LEGACY 06MY,2.5L NA SEDAN &WAGON CAL AT,0x100000,d2ad625dad279ce2421c0562e0713bfa21e0b2fb194e7b7bccc42f5a534b20ea,valid
E2VL002D,ECM,J2534,N.AMERICA FORESTER 06MY,2.5L NA WAGON CAL &FED MT,0x100000,a6104a1db9ab11478c1dfbf32f8a7a8efc81fc1bfe4b076f9081250efedf61cc,valid
E2VL001D,ECM,J2534,N.AMERICA FORESTER 06MY,2.5L NA WAGON CAL &FED AT,0x100000,0d324ecf425b44fdf5da3b79c286c02ef44581e7dd6ed1b362bd5819743c63b1,valid
E2VL001C,ECM,J2534,N.AMERICA IMPREZA 06MY,2.5L NA SEDAN &WAGON CAL &FED AT,0x100000,5c274899cc91585f49e3621c68aadf017f050338e78a831f18272cce40b316cf,valid
A8DH202X,ECM,J2534,N.AMERICA IMPREZA 06MY,2.5L TURBO WRXiexcl. STIj SEDAN•WAGON FED•CAL 5MT,0x100000,e058eab25c64496de3d09aeb1996ac5f645548c81f84dc7103a71815aa1c0f55,valid
A8DH201W,ECM,J2534,N.AMERICA IMPREZA 06MY,2.5L TURBO WRXiexcl. STIj SEDAN•WAGON FED•CAL 4AT,0x100000,c6cd984bf49e877106924688ad2fd89d8daff90cdba5efeb977f8805169c9465,valid
A2UI001N,ECM,can,N.AMERICA LEGACY/OUTBACK 07MY,2.5L TURBO 5MT,0x100000,4f14a3d707386bba3d7add9824c4ac5d40162f48702647922e1aee1086b3ce62,valid
A2UI001L,ECM,can,N.AMERICA LEGACY SPEC.B 07MY,2.5L TURBO 6MT,0x100000,1f1a1f8742c72c4274fb8a4cc2ede04933d7f2cb1dda5c07d9bb2353377fd489,valid
A2UI001C,ECM,can,N.AMERICA LEGACY 07MY,2.5L TURBO FED&CAL NORMAL-HEIGHT/OBK 5AT,0x100000,d77c50817978e017b4f017a7e8f662ce58b07c4723345fb1c05b1fed243590c1,valid
E2UG001I,ECM,can,N.AMERICA FORESTER 07MY,2.5L NA WAGON FED AT,0x100000,5e7f2d4b10ba8a8e23a1e9420aed87cc9842742a2a1bc5ce7d5a9c200d10595c,valid
E2UG002H,ECM,can,N.AMERICA FORESTER 07MY,2.5L NA WAGON CAL MT,0x100000,63a1ca8b340541520122bb2b54f4b3a30192553b61bf1073807290697ef6faed,valid
E2UG001H,ECM,can,N.AMERICA FORESTER 07MY,2.5L NA WAGON CAL AT,0x100000,36d33955a5f54ca10bad66d64258faa7e1156062ea8f2cbcd0ceab718d88fd8f,valid
E2UG002B,ECM,can,N.AMERICA LEGACY 07MY,2.5L NA SEDAN &WAGON FED MT,0x100000,c11cc39c2f989ed251b8d922f997c4997d8418d7fbce5406b062becbd9730f42,valid
E2UG001B,ECM,can,N.AMERICA LEGACY 07MY,2.5L NA SEDAN &WAGON FED AT,0x100000,fb8305ffedb17603f7e5d5c2e4249fb5bdd1bc498bcc5ab64e809818d630bd89,valid
E2UG002A,ECM,can,N.AMERICA LEGACY 07MY,2.5L NA SEDAN &WAGON CAL MT,0x100000,a25e762442b54dcf7ef5180bc9bbad9c7f832ba576a196f1f671ef2f86bfd197,valid
E2UG001A,ECM,can,N.AMERICA LEGACY 07MY,2.5L NA SEDAN &WAGON CAL AT,0x100000,5e88707b67fd04c1c4cceba55ff6d38d0402c0893fe8a8251c2b68166c9ff693,valid
A2UJ001J,ECM,J2534,N.AMERICA IMPREZA 07MY,2.5L TURBO STIiexcl.WRX) FED & CAL 6MT,0x100000,74433c65d30ec6fcd9a17c07fe67e48bc0eb4f8a5ea7d5c631b8c0fecc2ea4f6,valid
A8DK101X,ECM,J2534,N.AMERICA IMPREZA 07MY,2.5L TURBO WRXiexcl. STIj SEDAN•WAGON FED•CAL 5MT,0x100000,26039446e179348acbd6ebe5c7e86fbb86c6e00a25856df5ed65125ff8a03a5f,valid
A8DK101W,ECM,J2534,N.AMERICA IMPREZA 07MY,2.5L TURBO WRXiexcl. STIj SEDAN•WAGON FED•CAL 4AT,0x100000,7247e532cd18420e40abebc70c53e0c7be1997959be88eb01b19c953034124a3,valid
E2UG002L,ECM,J2534,N.AMERICA IMPREZA 06&07MY,2.5L NA SEDAN &WAGON CAL &FED MT,0x100000,c9cd8f90e2104e5b088d0c89f2b636f4a72bf947607559c2deef4ebe8d71b336,valid
E2UG001L,ECM,J2534,N.AMERICA IMPREZA 07MY,2.5L NA SEDAN &WAGON CAL &FED AT,0x100000,e0f8951efd8bc7aa9fb666546b590f26c28a56f39f741dd5c7dd0e57e3a529ce,valid
EZ1GB00G,ECM,can,N.AMERICA IMPREZA 08MY/09MY,2.5L NA SEDAN/WAGON FED&CAL 5MT,0x100000,1430c037808af797dd8e10842773cedb42663abfe9a0138bd19de5798094c4a9,valid
EZ1GB00H,ECM,can,N.AMERICA IMPREZA 08MY/09MY,2.5L NA SEDAN/WAGON FED&CAL 4AT,0x100000,926f325399ad14986df1ca8102a844d89d5cf05b5ddf1f93e22de4ce20f212bf,valid
A2TB001N,ECM,can,N.AMERICA LEGACY/OUTBACK 08MY,2.5L TURBO 5MT,0x100000,c81dc38bf82ef05fb33ccd8073dd12d4b18b352e4aff2b291560c41d88a34f9a,valid
A2TB001L,ECM,can,N.AMERICA LEGACY SPEC.B 08MY,2.5L TURBO 6MT,0x100000,ee3ffdff1cca00744105e4c29af2f7b68fa1dcf80da052ca3684788e8bbc97fb,valid
EZ1GC00C,ECM,can,N.AMERICA LEGACY 08MY/09MY,2.5L NA SEDAN/WAGON FED 5MT,0x100000,d8dcac365c9bd594e1ad114004ddedb461c7505a612cb6d1fa462d9e9ca56f98,valid
EZ1GC00D,ECM,can,N.AMERICA LEGACY 08MY/09MY,2.5L NA SEDAN/WAGON FED 4AT,0x100000,861f073670f7f55184b43d8d26327c184dd7da64b3384de2a2209d9a14a399ab,valid
EZ1GC00A,ECM,can,N.AMERICA LEGACY 08MY/09MY,2.5L NA SEDAN/WAGON CAL 5MT,0x100000,5650d5c277eb8a04e4ba4d0d363577b743245067d144bdd842fcb4f7422d4aac,valid
EZ1GC00B,ECM,can,N.AMERICA LEGACY 08MY/09MY,2.5L NA SEDAN/WAGON CAL 4AT,0x100000,b2480763ced9e2b84ec6496dbb430aa06f230dfe6a64af337221e8fcd310a814,valid
DZ1E401B,ECM,can,N.AMERICA TRIBECA 08MY,3.6L NA FED&CAL 5AT,0x100000,9d2af333d4d1b375f767320c51e56ed96045f7834d03f3457d5068dbc86f5bf7,valid
E2TD001I,ECM,can,N.AMERICA FORESTER 08MY,2.5L NA WAGON FED 4AT,0x100000,05447d168d529223bdca461192ef4b0359b0ad58355c957d34b7ead26b4ec284,valid
EZ1GC00E,ECM,can,N.AMERICA FORESTER 08MY,2.5L NA WAGON CAL 5MT,0x100000,c1da671002ac8351bbfb7c4c1516cd5dd2d8708f29051fab6117251e04a63a8d,valid
EZ1GC00F,ECM,can,N.AMERICA FORESTER 08MY,2.5L NA WAGON CAL 4AT,0x100000,52af94dcbb002a81576f9ee669f48f715afbcf2bf845d1892286df2e35afc623,valid
AZ1G202I,ECM,can,N.AMERICA IMPREZA 08MY,2.5L TURBO STIiexcl.WRXj FED•CAL 6MT,0x100000,340d7e6ffa2ffc60cfdef6da915dcd6357c347a8fd28d490d5c4de7ab682b2fb,valid
EZ1GB00K,ECM,can,N.AMERICA FORESTER 09MY,2.5L NA WAGON FED 5MT,0x100000,c96f0836cb6e4607c9af3314880990cf0cdab187d21f6d037479ac5a22f3c68b,valid
EZ1GB00L,ECM,can,N.AMERICA FORESTER 09MY,2.5L NA WAGON FED 4AT,0x100000,6104a1bafead0808f554cd61974d34081158e23c39dfaa2b1876b0d9af73e4a3,valid
EZ1GB00I,ECM,can,N.AMERICA FORESTER 09MY,2.5L NA WAGON CAL 5MT,0x100000,f89468431906857fcec33540e02263aa4614eb70202e15dda3ac23cbb3e4c6c8,valid
EZ1GB00J,ECM,can,N.AMERICA FORESTER 09MY,2.5L NA WAGON CAL 4AT,0x100000,d02e9bafaed9f6f8c3b49159bccee3f33923e3bb186ce511677fb6230ba17fc3,valid
E2UG002I,ECM,can,N.AMERICA FORESTER 07MY,2.5L NA WAGON FED MT,0x100000,353e4862e9c05af5ce4486d737bb435f9765bfc3cecf1036f1f06bd0e6c80ccc,valid
